영화명,평점,리뷰
완벽한 축사를 준비하는 방법,1,"확률상 프랑스영화 10편 중 8할은 실패였지만 정말 오래간만에 시사회당첨이라 기분좋게 갔으나 안본 눈 삽니다. 재미도 없고 감동도 없고 의미도 없고 시간 낭비,, 같이 간 친구에게 미안했네요."
범죄도시2,10,웃음 포인트가 억지 스러운면이 있기는 하지만 액션 몰입감 좋고 스토리 흐름 끊기지 않아서 좋았다 ~액션영화는 그냥 액션이 좋으면 끝 아닌가!! 마동석 구씨~ 좋아 간만에 3편이 기대되는 시리즈야~속시원해~
범죄도시2,10,시작부터 끝까지 안웃은 적이 없는 영화
범죄도시2,10,
닥터 스트레인지: 대혼돈의 멀티버스,9,즐겁게 오랜 시간 감상했습니다.~~
범죄도시2,10,오락적인 요소가 1보다많이생긴듯 스트레스풀림
범죄도시2,7,2배 더 잔인하고 2배 더 재밌다!
범죄도시2,10,
범죄도시2,10,이렇게 재밌는 영화가 있다니
범죄도시2,10,너무 재밌어요. 벌써 또 보고 싶네요!
범죄도시2,10,好看好看好看好看好看
범죄도시2,10,액션신 진심 지렸다..
범죄도시2,10,
범죄도시2,10,"재밌음. 1편 안봤어도 웃을 수 있고, 봤으면 정말 재밌게 웃을 수 있는"
범죄도시2,10,개인적으로 1보다 재밌었다
범죄도시2,10,코로나 이후 처음 선택한 영화 시간가는줄 모르고 재밌게 봤습니다
노인을 위한 나라는 없다,7,솔직히 결말도 내용도 뭘 뜻하려는지 모르겠다
범죄도시2,10,손석구 진짜 미쳤다 또 반했다 .. 섹시해요 ㅠ
범죄도시2,10,확실히 인기 많은 이유가 있는 법. 액션 시원시원하니 재밌게 봤어요.
범죄도시2,10,댓글 알바 아님. 케이티 멤버쉽으로 예매하고 가서 봄. 보통 1보다 2가 재미없는데 누가 리뷰중에 범죄도시 1보다 범죄도시2가 더 재미있다 해서 가서 봤음. 진짜 맞는 말인듯 개인적으로 1도 대박이었지만 2조 진짜 대박임 너무 잘만들었음. 액션50% + 재미50% 라는 말도 딱 맞게 너무 잘 만듬 ㅋㅋㅋ 그리고 특정한 부분만 재미있는게 아니라 전체적으로 재미가 다 들어가있음 강추함 왜 그렇게 개봉 미뤘는지 알 것 같음 너무 잘만들어서 제발 범죄도시3도 나왔으면 좋겠음
범죄도시2,9,최근 한국영화 중에 제일 괜찮았습니다. 웃음 포인트도 간간히 있고 스토리도 나쁘지 않았어요! 근데 15세 영화라고 하기에는 좀 잔인한 부분이 많았어요. 연기력은 다들 대박입니다!  손석구 배우님 영화에 처음 등장하셨을 때 누군지 못 알아 봤습니다ㅎㅎ
안녕하세요,8,오래된 영화가 참 세려되었다
우연과 상상,10,감독이 정말 대본을 잘 쓴다
범죄도시2,8,기대 이상이었음 3편도 기대합니다 =)
범죄도시2,7,1편은 구성이 좋다면 2편은 오락성이 좋습니다킬링타임으로 깔끔하고 볼만합니다
크로스 더 라인,8,뭔가 완벽하지 않은 느낌의 영화
닥터 스트레인지: 대혼돈의 멀티버스,7,아쉬운 부분들도 있지만 그래도~
닥터 스트레인지: 대혼돈의 멀티버스,6,3번째 관람했는데 그냥저냥입니다.
검은 사제들,10,영화 상영시간이 왜이리 짧아!! 더 길게 풀어주셨어야...
범죄도시2,10,이런 부류의 유머코드 시원시원한 액션 직관적으로 재밌고 좋아요!
범죄도시2,10,말이 필요없음 굿굿굿 꼭보세요
닥터 스트레인지: 대혼돈의 멀티버스,8,누나 이제 행복하게 살아요 ㅜ
닥터 스트레인지: 대혼돈의 멀티버스,8,완다.. 어느 유니버스에서건 행복했으면 ㅠㅠ
범죄도시2,10,믿고저는 마동석표 코믹액션 영화!!
범죄도시2,9,단순해도 이런 게 재미있는 영화디
범죄도시2,10,배우 분들의 연기가 감탄할 정도!
닥터 스트레인지: 대혼돈의 멀티버스,5,재밌긴한데 내용이 그닥... CG가 예쁨
닥터 스트레인지: 대혼돈의 멀티버스,1,이게 도대체 뭘 말하고 싶은건지 모르겠음그냥 대환장 엉망진창 파티 그 자체
범죄도시2,10,너무 재밌어요 1편능가
범죄도시2,4,"악역의 카리스마나 스토리가 부족함. 카리스마를 잔인함으로 표현하려고 했는데, 그래서 그냥 잔인한 사람과의 싸움이됨."
범죄도시2,10,최고의 연출과 스토리였습니다!!
범죄도시2,10,
범죄도시2,10,진짜 역대급 ... 진짜 돈내고 3번 더 볼 수 있을정도 ... 마동석님 진짜 .. 하 너무 멋있어요 강해상도 최고 박지환님 완전 ㅜㅜ 내 이상형 ..
닥터 스트레인지: 대혼돈의 멀티버스,8,재미재미재미재미재미 ㄹㅇ
사이버 지옥: N번방을 무너뜨려라,10,우리사회가 꼭봐아하는 다큐
범죄도시2,10,배우들 연기가 진짜 미쳤음 특히 손석구님연기는.... 진짜 보는 내내 소름이 돋음
범죄도시2,10,정말 재미있게 봤어요! 근데 15세 관람가가 아닌 19세 관람가로 해도 좋을 것 같네요.
범죄도시2,10,개꿀잼 감동지수 높음은 손석구를 보고 난 내 감동지수ㅜㅜ
닥터 스트레인지: 대혼돈의 멀티버스,9,
범죄도시2,10,
범죄도시2,10,솔직히 볼만함 얼른보쇼
범죄도시2,10,아 놔 킹받는다근래 본 영화 중 단연 최고다
파이널 디씨전,10,이OO 전에 봤는데 지금도 가끔 생각남 ㅎ ㅎ
범죄도시2,10,너무 통쾌하고 재미있습니다 가족이 보아도 될듯합니다. 3편 기대됩니다
어부바,10,
닥터 스트레인지: 대혼돈의 멀티버스,10,재밌긴 한데 디즈니플러스 안 보는 사람에겐 불친절한 듯
닥터 스트레인지: 대혼돈의 멀티버스,10,기대를 저버리지 않는 마블~
범죄도시2,10,영화 시작부터 끝까지 지루할 틈이 없었음~
범죄도시2,10,지루한 순간이 단 한 순간도 없었어요! 몰입도 장난 아니고 강해상 소름끼치는 연기 넘 잘해요ㅠ 또 볼거에요
범죄도시2,8,"더 이상 쎼질 수 없는 마동석의 파워를 더욱 빵빵한 사운드의 타격감과 과격하게 뒤흔드는 카메라 기법으로 올려버렸네.1편이 느와르였다면 2편은 전형적인 한국 코믹액션 영화.부디 다음 마동석 영화는 분노의질주처럼 좀 비슷한 악역도 나오고, 자동차 액션도 좀 넣고, 액션도 좀 넣고, 하여튼 싹 다 바꼈음 좋겠다.."
동경 이야기,9,
범죄도시2,8,생각보다 잔인하네요 청불인줄~ 적당한 유머에 액션도 좋아요 역시 마동석! 크으~
범죄도시2,10,후속작이란 이렇게 만들어야 한다
범죄도시2,10,극장가기 전에 더워서 짜증났는데 영화 보니 시원한 타격감에 가슴이 뻥뚤림ㅋㅋ
범죄도시2,8,"2도 나쁘진 않았지만, 1보다 더 재밌다고 하는건,, 그냥 시간이 지나서 기억을 잃어버린건가....범죄도시1은, 센세이션 그자체였다고 보는데. 당시 무명이였던 진선규, 허성태, 박지환(장이수), 김성규 등등 이런 배우들을 다 스타덤으로 만들었던..연기력이 애매모호했던 윤계상도 한방에 연기력 인식을 바꾸게 한 영화였는데,, (절대 2를 까는건아니고) 마동석 영화가 항상 기승전결이, 매번 똑같다보니, 2도 딱 그렇게 마무리되겠네. 싶어서,,, 그냥 딱 거기서 거기인 느낌이랄까...?? 1보다 2가 재밌다고 하는사람은 다시 1 보고왔음 좋겠네. 내 기준 1은 , 대작영화, 2는 킬링타임용이랄까...ㅠㅠ 딱 그이상그이하도 아닌 느낌...1의 충격이 너무 강했었음.."
범죄도시2,10,시즌 1보다 코믹해서 재밌었습니다~!
범죄도시2,10,1편만큼 재밋게봤습니다 어떤 부분에서는 1편보다 나은부분도 있었습니다 추천
범죄도시2,10,기대를 져버리지 않고 재밌었습니다. 돈이 안아까움!
범죄도시2,10,주인공 걱정 1도 필요없는 영화속이 뻥뻥 뚤리는 그런 영화임
범죄도시2,9,아 정말 너무 재미있었어요 ~타격감 무엇 !!!시리즈로 계속 보고 싶어요 한번 더 보고싶은 영화 입니다.
범죄도시2,9,오랜만에 재밌게 영화봤어요^^~유쾌하면서 볼거리가 다양한 영화 개봉 많이했음 좋겠어요~15세관람가이지만 잔인하긴하네용 ㅎ
범죄도시2,10,가볍게 코로나끝나고 웃으며 잘보았어요..장이수배우님 너무 최고인거같아요. 너무 좋아요~ ^^
범죄도시2,10,진짜 너무너무 재밌어서 여운이 계속 남았던 영화 ㅜㅜ지루한장면 하나도없이 영화내내 웃고 긴장하다가 나왔네요 ㅜㅜ사랑해요 범죄도시 ㅜㅜ
매스,6,
범죄도시2,10,진짜 재밌습니다 손석구님 몸매가.. 후
범죄도시2,10,진짜 최고임 말해뭐해 손석구팬으로 기대하고 봤는데 마동석에 치이고 가는 영화
레전드,10,톰하디가 남자고 여자고 다 팬으로 만드는 영화
범죄도시2,10,속편이 기다려지는 영화는 이 영화가 처음이다.
닥터 스트레인지: 대혼돈의 멀티버스,8,음표마법에선 웃음이 터졌지만 그래도 닥스는 존나 멋있다.. 베네딕트 컴버배치와 엘리자베스 올슨의 연기로 끌어낸 마법같은 영화
"파리, 13구",6,마음의 집에 들어오지 않은 육체의 접촉은 공허함만이 남는다부디 마음의 집을 노크하여 외로운 이를 어루만져 주시길
위대한 쇼맨,10,오징오징오징오징오징
범죄도시2,10,기대했던거 만큼 재밌었어요~마동석배우님 최고
범죄도시2,10,
닥터 스트레인지: 대혼돈의 멀티버스,9,
범죄도시2,8,영화는 역시 극장에서 다같이 봐야한다.
범죄도시2,9,"재미있게는 보았다.다만 나의 뇌리에는 1편의 장첸과 똘마니들이 기억에 남는다.2편의 강해룡은 톡고 다이느낌인데, 해결사로 부른 2명과 스토리가 조금 어색했다.마지막 격투씬은 최고였다."
범죄도시2,10,진짜 1편 2편 각각의 매력이있음 졸잼
범죄도시2,8,1편보다 액션은 화려해졌지만 웃음은 약해진거 같습니다
범죄도시2,10,"마동석의 액션연기에 스트레스가 홧 풀리고, 손석구의 눈빛이 쩜.. 연기 너무 잘함 너무 재밌게 봤어요"
닥터 스트레인지: 대혼돈의 멀티버스,10,완다마음이 이해가면서도 너무 안타깝다..
매스,8,구원은 아픔으로 변화를 이루는 것이 아니라 아픔의 크기만큼 컸었던 사랑에 대해 생각해보는 것일 수 있다
82년생 김지영,1,별점 1개도 아까움.이런거 말고 돈에 환장하고 갑질하고무례한 아점마 이야기도 같이 만들었으면 좋겠네요.다니면 88년생 외노쟈 블랑카81년생 장애인 홍길동등도 같이 만들어주세요
범죄도시2,10,개인적으로는 1보다 2가 재미와 스토리 둘 다 더 재밌었던 느낌이네요 ㅎㅎㅎ별점이 높았어도 기대 안하고 봤는데 너무 재밌었습니다!웃음 포인트도 많아서 상영관 내에서 웃음소리가 끊이지 않았던거 같네요ㅎㅎㅎ
범죄도시2,8,1편에 나온분이 많아서 더재밌었어요1편 패러디한 느낌?이라 개그포인트는 호불호는 조금갈릴것같은데 힐링타임용으로 무난하게 볼만해요.기대안한상태로 봐서그런지 생각보다 재밌게봤어요.
범죄도시2,10,손석구 .. ㅠㅠ 반해버림 ..ㅠㅠㅠ
나이트메어 앨리,10,긴 러닝타임에 걸맞게 묵직함을 안겨준 영화
중경삼림,10,이 영화를 이제야 보게 되다니..
닥터 스트레인지: 대혼돈의 멀티버스,10,난 개인적으로 잼났ㅇㅓ 이런 영상미 어디서보겠음
범죄도시2,9,오랜만에 보는 원작보다 부족함 없는 속편!
범죄도시2,10,속편은 망한다는걸 깬 영화
범죄도시2,10,"재밌었습니다. 개인적으로는 시즌1보다 더 재밌는거 같아요배우들간 케미 좋고, 또 보고 싶어요시즌3 나오길 기대해봅니다"
범죄도시2,10,1시리즈의 평판에  누를 안주는 시즌 2네 아니 더 뛰어 넘었다
범죄도시2,10,1편을 답습했지만 그게 느껴지지 않을 정도로 뛰어난 액션과 연출. 하지만 3편에서도 이러면 뇌절일 듯.
범죄도시2,10,강해상 손석 구씨 다음 편에 탈옥해서 다시 나와 주길
범죄도시2,10,
범죄도시2,10,1편보다 재밌다그래서 기대하고 봤는데 스토리도 엄청 재밌고 연출도 너무 재밌었다. 연기력은 두말해서 뭐해 손석구배우님 연기 진짜 개작살남. 영화인거 아는데도 등장만으로도 무서워서 소름돋음. 마동석은 그냥 러블리 알라뷰마동석
범죄도시2,10,아주 완벽한 액션영화입니다
범죄도시2,10,15세 관람가인데 잔인한 장면 많으니 참고해서 보는게 좋아요.  스토리 구성은 괜찮아요.
범죄도시2,8,초반부분  대사톤이 왜이렇게  어색했던건지의아했음요~~중반부턴 자연스러워진했는대..쏘쏘합니다.박이수 그분이 영화 반은 살린듯요 ^^
범죄도시2,10,개꿀잼 인정합니다 ㅎㅎ
매스,8,"자식을 잃은 슬픔은 가해자의 부모, 피해자의 부모가 동일하다. 2부모의 치유를 위한 대화...."
범죄도시2,10,아 진짜 너무 재밌음 개인적으로 빌런이 진짜 미친놈처럼 보여서 더 재밌었던듯
범죄도시2,10,범죄도시1을 보지 않아도 재밌게 관람했습니다!
범죄도시2,10,
닥터 스트레인지: 대혼돈의 멀티버스,6,마블은 엔드게임에서 끝낫어...
범죄도시2,10,코믹과 액션의 절묘한 조화 넘 재미있게 잘 봤네요
범죄도시2,9,1편을 능가하진 않았지만 충분히 재미있었음~!!
닥터 스트레인지: 대혼돈의 멀티버스,7,상당히 재미있다. 도랐다. 미쳤다.
범죄도시2,10,
범죄도시2,10,진짜 너무 재밌고 사운드가 예술.. 사운드가 너무생생해서 생동감 쩔고 마동석 진짜 마동석이 마동석 했다.. 장이수랑 마동석 반장의 티키타카가 너무 좋았고 아 진짜 스트레스 완전 날려버려
범죄도시2,10,1편 보다 2편이 지렷음 역대 경찰영화 1위등극임
범죄도시2,10,진짜 너무 ㅈㅐ밌었다 간만에 꼭 보세여 평점 8.9는 좀 낮은것 같아서 10점 드림
범죄도시2,10,"전작보다 좋은 코믹요소, 액션씬보고 후회 없을 영화"
범죄도시2,6,음..생각보단 들 재밌네요~하도 잼 있단 댓글에..봤더만시간 잘가요~ㅎ
범죄도시2,8,올해는 손석구의 해임을 보여주는 연기
범죄도시2,10,장첸과는 다른 새로운 빌런을 어떻게 줘패는지 보는게 관전포인트 ㅋㅋ 이왕이면 1편보고 가야 유머를 즐길 수 있어요! 강추합니다.
범죄도시2,10,ㅈㄴ 잼있다 그냥봐라 오랜만에 영화관에서 돈쓰는게 안아깝네....
범죄도시2,10,에스컬레이터 ㅋㅋ  보고나면 또 보고싶은영화
범죄도시2,9,"시즌1과는 또 다른 재미가 있네요강해상역 맡은 손석구 배우도, 1편 장첸 못지않게 진짜 매력적인 악역이었음"
"파리, 13구",7,"참을 수 없는 파리의 가벼움, 뜨거움"
사이버 지옥: N번방을 무너뜨려라,10,이미 뉴스에서 봐서 잘 아는 내용인데도 긴장감있게 잘 연출한거같아요.
범죄도시2,10,기대했지만 역시 재미있네요
범죄도시2,8,악역 잘살리고 마동석표 맨몸액션은 역시 볼만함
범죄도시2,10,미쳣다 .. 버스타고 왓대...
범죄도시2,10,이렇게 재밌는 영화는 정말 오랜만이네요 원래 리뷰 잘 안쓰는데 꼭보세요 강추드립니다!!!!
범죄도시2,10,
범죄도시2,10,진짜 너무너무 재미써 또 볼가야!!!!
범죄도시2,10,모든 배우들이 연기를 너무 잘해서 진짜 너무너무 재미있었고 돈 아깝다는 생각 전혀 안들고 한번 더 돈주고 보라고 하면 볼 수 있을것 같아요 그정도로 너무 재미있었습니다 범죄 도시 2 화이팅!!
범죄도시2,10,마동석의 시이이~워어언한 액션을 볼수있는 영화. 역시 마블리!
나를 만나는 길,10,"잠시나마 나를 만날 수 있었습니다. 영화 볼때보다 보고난 후 알아차림의 여운이 남았고, 그동안 놓치고 살았던 깊은 알아차림을 실천하려는 의지가 강해졌습니다. 감사합니다 _()_"
범죄도시2,10,1편보다 재밌게봄 꼭보셈 ㅋㅋㅋㅋ
범죄도시2,10,코미디 요소가 너무 재밌음
범죄도시2,10,모든 등장인물들의 찰떡 캐스팅과 강해상의 광기넘치는 연기력에 범죄스릴러를 보면서도 감동할 수 있구나 싶었습니다. 정말 너무 재밌습니다.
범죄도시2,10,
범죄도시2,7,"볼만했습니다. 1이 더 나은 작품이지만 유쾌하게 잘봤습니다. 몇가지 아쉬움을 적어봅니다.1. 1편의 마동석 말재간이 자연스러웠다면, 2편은 약간 웃기려고 의식한 대사들이 약간 뜨는 느낌?2. 악역조연들의 아쉬움. 진선규와 그 조선족들의 미친듯한 연기는 실제로 무서움을 느낄정도. 그리고 실제 손석구가 윤계상보다 연기내공이 뛰어나겠지만 적어도 범죄도시에서의 장첸 윤계상은 손석구보다 더 강렬합니다. 필리핀 형제들도 딱히 내공이없음. 실제로 안그런애들 괜히 거멓게 그을리게 한 티가난달까3. 너무 쉽게쉽게 잡히는? 실화를 바탕으로 두고있다지만 에쿠스 차량을 세워둬서 위치 발각된다던가, 백프로 잡히는데 안뒤안재고 백화점 추격씬이라던가... 뭐 실제 뒤없는 인생이라 생각없을수도있지만 뭔가 좀 너무 뻔하게 잡히는 느낌들,,?이밖에 화끈한 액션이라던가 그런것들은 정말 한국형 시리즈물로 나아가는거아닌가하는 점은 있었네요. 영화 한편을 수작으로 뽑으려면 얼마나 많은 노력과 우연들과 사대가 한대 겹쳐야 탄생할수있는지 다시금느끼게됩니다. 1편을 따라잡긴힘들어보이나 영화관가서 돈주고 볼만합니다"
범죄도시2,10,손석구 배우님의 연기가 너무 돋보이는 영화였네욤.. 쿠키영상으로 장첸이 어떻게 지내는 지 나왔으면 어땠을까 싶기도 해요ㅋㅋㅋ범죄도시3도 기대하겠습니다!!!
범죄도시2,10,1에 맞먹는 재미네요. 추천합니다.
범죄도시2,9,주연도 주연이지만  조연들이  감초역할을  잘 했다. 전체적으로 볼만하다 꼭 보시길
범죄도시2,7,영화 범죄도시2 감상평 마동석
범죄도시2,9,인권이랑 구씨가 다했네
범죄도시2,10,역시  액션이  멋있네요~거기에  웃음까지~굿
배드 가이즈,10,애들이랑 재밌게 잘 봤어요~ 어른이 봐도 재밌고! 슬프고 감동적인 포인트가 있어요 ㅋㅋㅋ 애들은 둘다 울었다는..ㅋㅋㅋ 귀여운 케릭터들이 많~이 나와서 힐링돼요!! 시즌2 나오면 무조건 봅니다!!!
범죄도시2,8,와씨 손석구 진짜 무서웠어요. 개인적으로 도로에서 칼들고 분노에 부르르 떠는 장면이 진짜 무섭고 연기 쩔었음. 심야영화로 범죄도시 보고 바로 잠들었더니 꿈속에서 강도만나가지고 범죄도시3찍음. 악몽에 시달렸더니 개피곤....
범죄도시2,10,마동석 주먹에서 대포 소리나요
범죄도시2,10,역시 기대를 저버리지 않는 마동석만 가능한 액션과 재미를 동시에 느낄수 있었습니다
범죄도시2,8,"기대한 만큼은 아니었지만 재밌게 집중해서 봤다. 19세 영화 수준으로 잔인했다. 마동석이랑 반장이 이 영화를 살렸다. 분위기, 무게감 좋았다. 범죄도시3 나왔으면 좋겠고 2022년 이후로 마지막 시리즈로 마동석 은퇴하는 장면 넣으면 대박일 것 같다."
범죄도시2,10,엉엉 개꿀잼 진짜 요새 이러ㅎ게 재밌는 영화 없었어… ㅠㅠㅠㅠ
범죄도시2,4,그냥 마동석이 혼자 다하는 스토리도 별거 없어요
범죄도시2,10,범죄도시1만큼 존잼쓰
범죄도시2,6,이것이 구씨가 염미정을 만나지 못한 세계선인가...
고양이에게 밥을 주지 마세요,10,동물혐오충들 아직도 여기서 발작하고 있네; 인생 설계를 그렇게 열심히 해봐라 한심한 종자들아 ㅠㅠ 이 쯤 되니까 진심으로 불쌍해지네... 인터넷에서 추하게 설쳐봤자 정상인 사람들은 길동물들 생명 소중한것 알고 더 나은 사람이 되기 위해서 현실을 열심히 살아가고 세상은 지금보다 좋은 방향으로 변해갈거임~ 너희 동물혐오종자들은 빠르게 도태되어가겠지만 ㅋㅋㅋ
범죄도시2,10,지루한 부분이 없었다~~~
범죄도시2,10,굳 너무 재밌습니다 ㅠㅠ
범죄도시2,10,니 내 누군지 아니? 개잼.. 간만에 크게 웃엇다..
닥터 스트레인지: 대혼돈의 멀티버스,7,유치한데 재밌긴함.
범죄도시2,10,"어제 와이프, 고등, 중등 자녀와 함께 보고 왔는 액션이 정말 리얼히고 코믹해 최소 1천만 이상 관객은 확실힙니다...."
범죄도시2,10,영화 끝나자마자 다시 보고싶어졌음
범죄도시2,10,1편보다 더 재밌게 봤음
범죄도시2,10,진짜 잘만들었다. 처음부터 끝까지 재미있었습니다.
범죄도시2,10,모든 연출에 군더더기가 없다.
시니어 이어,10,마지막에 자가자신을 사랑하라는 의미 전달이 잘되어서 그런지 눈물이 저절로..감동 재미도 있고 오랫만에 하이틴스러운 영화를 봐서 좋았어요 힐링영화
범죄도시2,8,1보다는 스토리가 약간 아쉽지만 킬링타임용으로 오랜만에 재밌게 본 영화!!!
죽지않는 인간들의 밤,2,이게  영화냐  0점도 아깝다...  타이거마스크보다도 못하다
범죄도시2,10,
닥터 스트레인지: 대혼돈의 멀티버스,7,"1을 재밌게 봐서 2도 기대를 했는데요. 기대에 미치진 못했어요.메타버스 이동하는 장면의 연출이나 액션씬들의 연출은 멋있게 보았습니다. 눈이 즐거웠어요.그리고 중간중간 나오는 호러씬은 좀 무서웠어요..또, 감독이 원하는 이야기의 끝으로 향해 가기 위해 중간에 이해할 수 없는 인물들의 행동은아쉬웠어요. 반드시 이 이야기는 이렇게 진행되어야만 해! 하는.. 한번쯤은 볼만한 영화라고 생각되어집니다."
범죄도시2,10,네♡♡ 얘들 일을 안하나 업뎃이 안돼 이르니 주가가 그모냥이지
범죄도시2,10,티켓쿠폰있어 봤는데 참 잘왔다라는 생각이 들고  영화보는 내내 웃었습니다.마형사 펀치주먹 날릴때 놀래서 파콘 날릴뻔^^
범죄도시2,10,정의로운 한국판 히어로를 기대하는 분들께 강추합니다.
킹스맨: 퍼스트 에이전트,7,볼만은 한데.. 왜 자꾸 사람을 죽이냐
범죄도시2,8,1편보다  더 스릴 넘치고      기존에  등장인물들이  많이 나왔어       친근감도 느껴져고요          지루하지도 않고  잼나게 잘봤어요
시민 노무현,1,라이브에이드에 프레디머큐리 가 있다면 봉하마을엔 .mc무현이 있다.예아~ㅂㅎㅁㅇ 랩소디..
닥터 스트레인지: 대혼돈의 멀티버스,8,샘레이미식 복고스러움이 잇음
범죄도시2,10,와 진짜 ㅋㅋㅋㅋ이렇게 영화관에서 관객들 다같이 웃으면서 본 영화는 진짜 오랜만인 것 같음 ㅋㅋㅋ 1편 꼭 보고보세요
범죄도시2,10,"볼만한 영화, 봐도 후회없는 영화"
범죄도시2,9,후련하고 깔끔하다. 8편까지 쭈욱 응원할 계획!
범죄도시2,10,분석하고 배경지식 쌓고 그딴거 다필요없이 2시간 즐기다오는 영화!
범죄도시2,10,무슨 주먹소리가 뿌직빠직소리가나냐
범죄도시2,10,오랜만에 꿀잼이였습니다.코로나 이후로 웃으면서 영화본게 얼마만인지 모르겠습니다.
범죄도시2,8,가족들이랑 봤는데...1편보다 더 잘 만든 것 같아요... 너무 웃기고 통쾌하고 진짜 잼있었어요
범죄도시2,10,"정말 재밌어요. 1편만큼, 어쩌면 1편보다."
배드 가이즈,10,"배드 가이즈 진짜 재미있어요!!특히 이 영화에 나오는 늑대 잘생겼고,목소이도 진짜 짱 좋아요....!! 진짜 거짓말안하고 제가 영화관에수 본 영화중에서 제일 재밌어요.."
범죄도시2,10,걍 벌크업 더해서 돌아온 동석이형 타격감이 미쳤음
범죄도시2,10,1보다 더 더 진짜 재밌음
범죄도시2,10,너무 웃기고 지루할틈이 없었다
범죄도시2,10,말해 뭐해 그냥 봐 재밌으면 됐어
범죄도시2,10,꿀잼!!!! 제밌게 잫봐ㅛ어요
범죄도시2,1,1편 대비 너무 재미없음 개그요소를 너무 과하게 집어넣고 15세 관람으로 만들어 1편에 18세 관람 대비 액션과캐릭터의 말투 역양이 착해져 몰입감 없음
범죄도시2,10,액션 이나 스토리 연기등 뭐하나 전작보다 못한게 없습니다. 그 이상이라는 생각이 들어요.정말최고입니다. 3편 그 이상의 그후속작이 나오면 좋겠어요.진짜최고!
범죄도시2,10,재밌었어요 역시 굿!!!
범죄도시2,10,굳재밌어요
범죄도시2,10,존잼입니다 꼭보세요 ㅎㅎ
범죄도시2,10,오랜만에 스트레스풀고 왔네요. 지루함 일도 없이 계속 좋았어요^^
범죄도시2,10,걍 꿀잼입니다.   근래 최고임니다.
범죄도시2,10,구씨가왔다. 추앙한다!3편도 기대됩니다~
범죄도시2,10,15세 관람이라 걱정했는데 괜한 걱정..보는 내내 긴장감 최고 재미고 최고!
범죄도시2,1,언제까지 이런쓰레기 조폭영화가한국영화를 지배할까?
범죄도시2,10,집와서 1편 또봤습니당^.^
범죄도시2,10,
범죄도시2,10,개꿀잼 그냥 진짜 재밌다
범죄도시2,10,2시간 시간가는줄 모르고 봤습니다♡마동석 짱!!^^
범죄도시2,10,겁나 잼있어요 개쩝니다
범죄도시2,10,기대이상으로 재밌었다ㅋㅋ
범죄도시2,10,영화 끝날때까지 시간가는줄 모르고 웃었습니다
범죄도시2,10,그냥 재미고 줄거리고 스릴감하고 완벽 그 자체
소스 코드,10,진짜 최고에요. 우연히 보게 되었는데 정말 재밌게 봤네요
소스 코드,10,진짜 최고에요. 우연히 보게 되었는데 정말 재밌게 봤네요
범죄도시2,10,개인적으로 1편보다 더욱 재밌게 본 게1편의 예상치 못한 개그코드와 배우 분들의 전혀 어색하지 않은 조선족 연기가 좋았다면2편은 손석구 배우님의 입술 바르르 떨리는 모습을 보고 여운이 가시지 않았다.
범죄도시2,10,이번년도에서 본 영화중에 젤 최고
범죄도시2,10,액션과 연기력에 놀랍니다손석구 배우님의 활약 너무 잘봤습니다
섀도우 클라우드,10,다른건 모르겠고 엄마가 괴물을 때려부수는 장면에서 십점준다..엄마는 위대하다..
범죄도시2,10,ㅋㅋㅋㅋ 꿀잼ㅋㅋㅋㅋ
닥터 스트레인지: 대혼돈의 멀티버스,6,완다 마법부리는  모습 너무 멋있음
범죄도시2,10,역시 마블보단 마블리2시간동내내웃음
범죄도시2,10,엄청 재밌어요 뭔가 1이랑 다른 느낌
뜨거운 피,10,밤12시에 영화 보다 자려고 킬링타임 영화라길래 봤다 김갑수님 정우 이홍내씨의 연기 정말 감동이다 한순간도 놓치지 않고 영화에 몰입이 되는데 고향이 부산이라 대사가 와닿았다 한번 더 보고 싶을만큼 너무 잘만들어진 영화 입니다 전 여성이지만 남성들은 무조건 좋아할 영화 마지막 명대사  덕분에 3시간 취침후 출근
범죄도시2,10,"시즌제는원래 재미없대서 기대안했는데와 너무 재밌는데요? ???개인적으로 시즌1보다 시즌2가 더 재밌!! 꼭 보세요 ㅎㅎㅎ제2의 장첸 손석구,,, 캬.."
범죄도시2,10,
범죄도시2,10,
범죄도시2,10,
범죄도시2,10,
범죄도시2,10,재미따 구우우우우웃웃
야동보기 좋은 날,6,평점0점을 주고 싶었는데 평점0점이 없어서50대 평균 평점이6점대라길래 평점6점 주고 간다
이티,10,내가 ET를 옛날에 극장가서 본 기억이 ㅎㅎ 헌데 드류베리모어가 아역 출신이었네 ㅋ ★베트맨3★에도 출연하고 ★도플갱어★에도 출연하고..그때  E.T 촬영당시 나이 6세 ㅋ 아기 였을때라 그런지 너무 귀여웠네 ㅋ
범죄도시2,10,장이수 너무웃겼음 하얼빈의 장첸ㅋㅋ
범죄도시2,10,오랜만에 시원하고 통쾌한 영화였음~
이노센스,7,음악이 좋다...
공기살인,10,잊지말자 잊혀지지말자 잊는순간 또 다른 피해자는 내 가족이 된다
"님아, 그 강을 건너지 마오",10,
범죄도시2,9,마블리 짱이에요 재밌었어요 가족들이랑보기
범죄도시2,10,마블리 더귀엽고 특유의 코믹연기 미칩니다 반장이랑 케미 쩔고 코찔찔하던 막내가 까무잡잡한 피부로 형사가 된듯해서 제가 더뿌듯했습니다
